bare	accented	translations_en	translations_de
элементарно	элемента'рно		elementar, grundlegend
игриво	игри'во		verspielt, spielerisch, kokett, leichtsinnig, übermütig, etwas frivol
мудро	му'дро	Wisely	weise, klug
дерзко	де'рзко		frech; dreist; kühn, verwegen
ирма	ирма		Eigenname
бугреев	бугреев		Eigenname
дословно	досло'вно	literally	wörtlich, buchstäblich
ввысь	ввысь	high into the air	in die Höhe, nach oben, empor
спросонья	спросо'нья	half awake	schlaftrunken, vom Schlaf benommen
наперевес	напереве'с	tilted forwards	waagerecht, im Anschlag
неосторожно	неосторо'жно		unvorsichtig
фальшиво	фальши'во		falsch; gefälscht, unecht
недобро	недобро		schlecht, böse, boshaft, schlimm
воочию	воо'чию	Firsthand	mit eigenen Augen, sonnenklar
плашмя	плашмя	flat, flatways, flatwise, prone	platt, flach
напролёт	напролёт	all the way	(die ganze Zeit) hindurch
беспрекословно	беспрекосло'вно	implicitly, unquestioningly, without demur	unbedingt, unweigerlich, widerspruchslos
эффектно	эффе'ктно		effektvoll, eindrucksvoll
психологически	психологи'чески		psychologisch
поровну	по'ровну	equally	in gleiche Teile; gleichermaßen
толково	толко'во		gescheit, vernünftig, klar, verständlich
предостаточно	предоста'точно		mehr als genug, im Überfluss
досадно	доса'дно	it is a nuisance, it is a pity	ärgerlich, bedauerlich
смачно	сма'чно	with relish	schmackhaft, lecker; kräftig, intensiv, heftig, deftig, saftig
бесцельно	бесце'льно	aimlessly, pointlessly	ziellos
увд	увд		Abkürzung zB für Университет внутренних дел
промеж	проме'ж	between, among	zwischen, mit
горелов	горе'лов		Eigenname
непомерно	непоме'рно	excessively	maßlos, unmäßig
необязательно	необяза'тельно		nicht unbedingt notwendig, unverbindlich
влажно	вла'жно		feucht
еремкин	еремкин		Jerjomkin (Herr J.)
завсегда	завсегда'		jederzeit, Tag und Nacht, immer
ноу	ноу		Abkürzung zB für научное общество учащихся
воздушно	воздушно		luftig, leicht
дос	дос	pill-box	Abkürzung z.B. für долговременное огневое сооружение
бездумно	безду'мно		sorglos
вручную	вручну'ю	by hand	per Hand, in Handarbeit
ощутимо	ощути'мо		fühlbar, wahrnehmbar
давненько	давне'нько	for quite a while	schon ziemlich lange, vor langer Zeit
испокон	испоко'н		seit (jeher)
благосклонно	благоскло'нно	with favour, favourably	wohlwollend, gewogen
вперемежку	впереме'жку	alternately, in turn, turn and turn about	abwechselnd
пугливо	пугливо		scheu, furchtsam
отродясь	отродя'сь		nie, niemals, mein Lebtag nicht
донельзя	доне'льзя	to the utmost, in the extreme	bis zum Gehtnichtmehr, über alle Massen
эк	эк		wie; so; ach so; ach, sieh an
пьяно	пья'но		betrunken, im Stadium der └ Trunkenheit / Volltrunkenheit┘ begangen
преждевременно	преждевре'менно	prematurely	vorzeitig, frühzeitig
книзу	кни'зу	downwards	nach unten
тарасюк	тарасюк		Eigenname
буднично	бу'днично		alltäglich, gewöhnlich
нате	на'те		Nehmen Sie! Greifen Sie zu!
ама	а'ма		Eigenname
сродни	сро'дни	akin, in relationship	verwandt, ähnlich, verwandtschaftlich verbunden
греков	гре'ков		Eigenname
применительно	примени'тельно	conformably, in conformity, as applied	in Bezug auf, bezüglich
баулина	баулина		Eigenname
серегин	серегин		Eigenname
вкупе	вку'пе	together	gemeinsam, zusammen, mit, in holder Eintracht
кирова	ки'рова		Eigenname
неладно	нела'дно		schlecht, mies, ungehörig, unglücklich
вволю	вво'лю	in plenty	sehr gern, nach Herzenslust
навзничь	на'взничь		rücklings, auf den Rücken, auf dem Rücken
умышленно	ум'ышленно	deliberately	absichtlich, vorsätzlich
айда	айда'		oh, ach
физико	физико		physikalisch-, Physik-, physisch, physiko-
заочно	зао'чно	without seeing, by default, by correspondence	in Abwesenheit, im Fernstudium, im Fernunterricht
напоказ	напока'з	for show	zum Schein, zur Schau
досрочно	досро'чно	before the appointed time	vorfristig, vorzeitig, vorgezogen
хищно	хи'щно		räuberisch
внеземной	внеземно'й	extraterrestrial	außerirdisch
растроганно	растроганно		gerührt, ergriffen
вровень	вро'вень	flush, level	in gleicher Höhe, auf einer Höhe, bündig, in einer Ebene
финансово	финансово		in finanzieller Hinsicht
элегантно	элега'нтно		elegant, schick
степенно	степе'нно	gravely	gesetzt, würdevoll
сям	сям		da
парадоксально	парадокса'льно		paradoxerweise
исподтишка	исподтишка'	stealthily, in an underhand way	verstohlen, heimlich
пропадом	про'падом		zum Teufel, weg damit
несчастие	несча'стие		siehe несчастье
трагически	траги'чески	tragically	tragisch
позарез	позаре'з	urgently	dringend, verzweifelt, schrecklich
глумов	глу'мов		Eigenname
отрешенно	отрешенно		zurückgezogen, abgeschieden, isoliert, weltentrückt, gleichgültig, weltfremd, abwesend
картинно	карти'нно		malerisch schön, bildhaft
мерзко	мерзко		abscheulich, scheußlich
амир	ами'р		Amir
раздельно	разде'льно	separately	getrennt
навряд	навря'д	scarcely likely, hardly	kaum
залогин	залогин		Eigenname
примечательно	примеча'тельно		bemerkenswert, beachtenswert
потрясающе	потрясающе		spektakulär, atemberaubend, traumhaft, erschütternd
коржаков	коржаков		Eigenname
впервой	вперво'й	for the first time ever	erstmals
галантно	гала'нтно		galant, liebenswürdig, höflich
тихонечко	тихо'нечко		ganz leise
неустанно	неуста'нно		rastlos, unermüdlich, beständig
напролом	напроло'м		mit dem Kopf durch die Wand, ohne Rücksicht
систематически	системати'чески	systematically, methodically	systematisch
спьяну	спья'ну	in a state of drunkenness	im Suff, im Rausch
недурно	недурно	rather well	nicht übel, nicht schlecht
рабоче	рабоче		Arbeiter-
ежемесячно	ежеме'сячно	monthly, every month	monatlich, jeden Monat
безобразно	безобразно		häßlich, abscheulich, gemein
недорого	недо'рого		nicht teuer, billig, preiswert
понуро	понуро		niedergeschlagen, bedrückt
допоздна	допоздна'	till midnight	bis spät in die Nacht
шестью	шестью	six times	6 x (in Multiplikationsaufgaben), sechsmal, sechs Mal; Instrumental von шесть
круглосуточно	круглосу'точно		auf 24 Stunden bezogen, Tag und Nacht, rund um die Uhr, durchgehend; ganztägig
аминь	ами'нь		Amen; zu Ende, aus, Schluss mit
ганичев	га'ничев		Ganitschew (Herr G.)
жилищно	жилищно		Wohnungs-, Wohn-
досыта	досы'та	to satiety; to satisfaction	richtig satt, bis zum Platzen voll
вспять	вспять		zurück, rückwärts
однофамилец	однофами'лец	person bearing the same surname, namesake	Namensvetter
натужно	натужно		angespannt, mühevoll, mühsam, anstrengend
глядь	глядь		da schau einer an!; siehe da; ehe man sich's versehen hat
экологически	экологи'чески		ökologisch, auf den Umweltschutz bezogen
сокращённо	сокращённо	briefly, in abbreviated form	Kurz-, verkürzt, kürzgefaßt, abgekürzt
притворно	притворно	affectedly, hypocritically	vorgetäuscht, falsch, erheuchelt
доподлинно	допо'длинно	for certain	echt, genau, wirklich, real, tatsächlich
интуитивно	интуити'вно	intuitively, by intuition	intuitiv
радушно	раду'шно	cordially	entgegenkommend, gastfreundlich, gastlich, freundlich
детально	дета'льно	in detail, minutely	im einzelnen
